2025-04-07 20:00:12 startup archives unpack
2025-04-07 20:00:12 upgrade libcap2:amd64 1:2.66-5 1:2.75-4
2025-04-07 20:00:12 status triggers-pending libc-bin:amd64 2.38-14
2025-04-07 20:00:12 status half-configured libcap2:amd64 1:2.66-5
2025-04-07 20:00:12 status unpacked libcap2:amd64 1:2.66-5
2025-04-07 20:00:12 status half-installed libcap2:amd64 1:2.66-5
2025-04-07 20:00:12 status unpacked libcap2:amd64 1:2.75-4
2025-04-07 20:00:12 startup packages configure
2025-04-07 20:00:12 configure libcap2:amd64 1:2.75-4 <none>
2025-04-07 20:00:12 status unpacked libcap2:amd64 1:2.75-4
2025-04-07 20:00:12 status half-configured libcap2:amd64 1:2.75-4
2025-04-07 20:00:12 status installed libcap2:amd64 1:2.75-4
2025-04-07 20:00:13 startup archives unpack
2025-04-07 20:00:13 install libelf1t64:amd64 <none> 0.192-4
2025-04-07 20:00:13 status half-installed libelf1t64:amd64 0.192-4
2025-04-07 20:00:13 status unpacked libelf1t64:amd64 0.192-4
2025-04-07 20:00:13 install libbpf1:amd64 <none> 1:1.5.0-2
2025-04-07 20:00:13 status half-installed libbpf1:amd64 1:1.5.0-2
2025-04-07 20:00:13 status unpacked libbpf1:amd64 1:1.5.0-2
2025-04-07 20:00:13 install libmnl0:amd64 <none> 1.0.5-3
2025-04-07 20:00:13 status half-installed libmnl0:amd64 1.0.5-3
2025-04-07 20:00:13 status unpacked libmnl0:amd64 1.0.5-3
2025-04-07 20:00:13 install libtirpc-common:all <none> 1.3.6+ds-1
2025-04-07 20:00:13 status half-installed libtirpc-common:all 1.3.6+ds-1
2025-04-07 20:00:13 status unpacked libtirpc-common:all 1.3.6+ds-1
2025-04-07 20:00:13 install libtirpc3t64:amd64 <none> 1.3.6+ds-1
2025-04-07 20:00:13 status half-installed libtirpc3t64:amd64 1.3.6+ds-1
2025-04-07 20:00:13 status unpacked libtirpc3t64:amd64 1.3.6+ds-1
2025-04-07 20:00:13 install libxtables12:amd64 <none> 1.8.11-2
2025-04-07 20:00:13 status half-installed libxtables12:amd64 1.8.11-2
2025-04-07 20:00:13 status unpacked libxtables12:amd64 1.8.11-2
